,pair,residuals,beta
53,"('AMAT', 'MPWR')","0      -12.274297
1      -10.600009
2      -11.595559
3      -11.154388
4      -10.159770
          ...    
2511   -22.636484
2512   -25.341166
2513     3.080072
2514    -7.351477
2515   -16.057445
Length: 2516, dtype: float64","const   -24.773446
AMAT      3.796950
dtype: float64"
54,"('AMAT', 'NXPI')","0       -4.125359
1       -4.709010
2       -4.459280
3       -2.714374
4       -1.221491
          ...    
2511   -22.970376
2512   -25.303229
2513   -27.402957
2514   -18.587390
2515   -17.671655
Length: 2516, dtype: float64","const    58.483132
AMAT      0.959452
dtype: float64"
55,"('AMAT', 'VMC')","0      -25.778418
1      -24.347882
2      -23.480600
3      -23.244217
4      -21.853416
          ...    
2511    39.324171
2512    37.697004
2513    38.818030
2514    39.222814
2515    38.634188
Length: 2516, dtype: float64","const    76.255035
AMAT      0.879239
dtype: float64"
56,"('AME', 'LIN')","0       19.106844
1       18.333788
2       17.776809
3       17.636889
4       16.702588
          ...    
2511    -7.410020
2512     1.827598
2513    12.105829
2514    11.726477
2515    14.915575
Length: 2516, dtype: float64","const   -39.048014
AME       2.668932
dtype: float64"
57,"('AME', 'LOW')","0       5.027291
1       3.895091
2       4.317766
3       4.225580
4       3.858773
          ...   
2511   -3.478762
2512   -6.369980
2513   -0.162866
2514    1.484518
2515   -0.513933
Length: 2516, dtype: float64","const   -14.953033
AME       1.508842
dtype: float64"
58,"('AME', 'MPWR')","0       23.954014
1       22.073020
2       22.816664
3       23.794570
4       21.091813
          ...    
2511   -68.729676
2512   -75.184705
2513   -29.651579
2514   -30.730976
2515   -37.557359
Length: 2516, dtype: float64","const   -210.250992
AME        4.965056
dtype: float64"
59,"('AMGN', 'LDOS')","0      -8.596552
1      -7.986667
2      -9.324494
3      -9.227370
4      -8.553747
          ...   
2511    9.665997
2512    7.313273
2513    7.537518
2514   -3.876732
2515   -1.176666
Length: 2516, dtype: float64","const   -30.840834
AMGN      0.571806
dtype: float64"
60,"('AMGN', 'LIN')","0       24.156836
1       26.007230
2       20.994343
3       19.739290
4       20.474291
          ...    
2511    34.072791
2512    35.480182
2513    35.779641
2514    -1.716528
2515    19.552797
Length: 2516, dtype: float64","const   -140.810551
AMGN       1.936997
dtype: float64"
61,"('AMGN', 'LMT')","0      -38.940671
1      -38.827761
2      -41.188759
3      -41.406517
4      -40.603208
          ...    
2511   -22.654961
2512   -36.163205
2513   -38.163140
2514   -74.533098
2515   -64.134736
Length: 2516, dtype: float64","const   -8.980453
AMGN     1.732834
dtype: float64"
62,"('AMGN', 'MAS')","0       -5.292926
1       -4.907567
2       -5.462013
3       -5.717306
4       -5.494403
          ...    
2511    10.890380
2512     8.380821
2513     7.993017
2514     3.737041
2515     6.094254
Length: 2516, dtype: float64","const   -3.549745
AMGN     0.252047
dtype: float64"
